Section", "Type", "Subtype", "Key", "Object"
"économie_domestique", "mets", "", "brioche", "BRIOCHE"
"économie_domestique", "mets", "", "tarte aux confitures", "CONFITURES"
"économie_domestique", "mets", "", "galette de ménage", "GALETTE DE MÉNAGE"
"économie_domestique", "mets", "", "gâteau de Savoie", "GATEAU "
"économie_domestique", "mets", "", "gâteau simple", "GATEAU SIMPLE"
"économie_domestique", "ustensile", "", "moule", "MOULES"
"économie_domestique", "mets", "", "paté de campagne", "PATÉ DE CAMPAGNE"
"économie_domestique", "mets", "", "tarte aux pommes", "TARTE AUX POMMES"
"économie_domestique", "ingrédient", "féculent", "pâte", "abaisse de pâte"
"économie_domestique", "ustensile", "", "assiette", "assiette"
"économie_domestique", "ingrédient", "laitier", "beurre", "beurre"
"économie_domestique", "ingrédient", "laitier", "beurre", "beurre"
"économie_domestique", "ingrédient", "laitier", "beurre", "beurre "
"économie_domestique", "ingrédient", "animal", "'œuf", "blanc"
"économie_domestique", "ingrédient", "animal", "œuf", "blancs"
"économie_domestique", "ingrédient", "animal", "œuf", "blancs"
"économie_domestique", "ingrédient", "animal", "œuf", "blancs"
"économie_domestique", "mets", "", "bouillon", "bouillon"
"économie_domestique", "mets", "", "brioche", "brioche"
"économie_domestique", "mets", "", "brioche", "brioche"
"économie_domestique", "ingrédient", "", "caramel", "caramel"
"économie_domestique", "ingrédient", "", "caramel", "caramel"
"économie_domestique", "ingrédient", "", "caramel", "caramel"
"économie_domestique", "ingrédient", "", "caramel", "caramel"
"économie_domestique", "ingrédient", "", "caramel", "caramel"
"économie_domestique", "ustensile", "", "carton", "carton"
"économie_domestique", "ustensile", "", "casserole", "casserole"
"économie_domestique", "mets", "", "pâté d'alouettes", "ceux d'alouettes de Pithiviers,"
"économie_domestique", "mets", "", "pâté de canard", "ceux de canards d'Amiens"
"économie_domestique", "ingrédient", "carné", "chair à saucisse", "chair à saucisses"
"économie_domestique", "ingrédient", "fruit", "confiture", "confitures"
"économie_domestique", "mets", "", "tarte aux confitures", "confitures"
"économie_domestique", "ustensile", "", "coquille", "coquille"
"économie_domestique", "ustensile", "", "corbeille à pain", "corbeille à pain"
"économie_domestique", "ustensile", "", "couteau", "couteau"
"économie_domestique", "ustensile", "", "couvercle", "couvercle"
"économie_domestique", "ustensile", "", "couverture", "couverture"
"économie_domestique", "mets", "", "crème renversée", "crème renversée"
"économie_domestique", "ustensile", "", "cuiller", "cuiller"
"économie_domestique", "ingrédient", "", "eau", "eau"
"économie_domestique", "ingrédient", "", "eau", "eau"
"économie_domestique", "ingrédient", "", "eau", "eau froide"
"économie_domestique", "ingrédient", "", "eau", "eau ordinaire"
"économie_domestique", "ingrédient", "", "eau", "eau tiède"
"économie_domestique", "ingrédient", "carné", "farce", "farce"
"économie_domestique", "ingrédient", "féculent", "farine", "farine"
"économie_domestique", "ingrédient", "féculent", "farine", "farine"
"économie_domestique", "ingrédient", "féculent", "farine", "farine"
"économie_domestique", "ingrédient", "féculent", "farine", "farine"
"économie_domestique", "ingrédient", "féculent", "farine", "farine séchée au four"
"économie_domestique", "ingrédient", "féculent", "farine", "farine,"
"économie_domestique", "ustensile", "", "feu", "feu"
"économie_domestique", "ustensile", "", "feu", "feu"
"économie_domestique", "ustensile", "", "feu", "feu"
"économie_domestique", "ustensile", "", "feu", "feu"
"économie_domestique", "ustensile", "", "feu", "feu doux de cendres"
"économie_domestique", "ingrédient", "éparco", "fleur d'oranger", "fleur d'oranger pralinée"
"économie_domestique", "ingrédient", "féculent", "farine", "fleur de farine"
"économie_domestique", "ustensile", "", "four", "four"
"économie_domestique", "ustensile", "", "four", "four"
"économie_domestique", "ustensile", "", "four", "four"
"économie_domestique", "ustensile", "", "four", "four"
"économie_domestique", "ustensile", "", "four", "four gai"
"économie_domestique", "ustensile", "", "four", "four de campagne"
"économie_domestique", "ustensile", "", "fourchette", "fourchette"
"économie_domestique", "ustensile", "", "four", "fourquelconque"
"économie_domestique", "ingrédient", "fruit", "fruit", "fruits"
"économie_domestique", "ingrédient", "fruit", "fruit", "fruits"
"économie_domestique", "mets", "", "galette", "galette"
"économie_domestique", "mets", "", "galette", "galettes"
"économie_domestique", "mets", "", "gâteau", "gâteau"
"économie_domestique", "mets", "", "gâteau de Savoie", "gâteau de Savoie"
"économie_domestique", "mets", "", "gâteau simple", "gâteau simple"
"économie_domestique", "mets", "", "gâteau", "gâteaux"
"économie_domestique", "ingrédient", "animal", "'œuf", "jaune"
"économie_domestique", "ingrédient", "animal", "œuf", "jaunes"
"économie_domestique", "ingrédient", "animal", "œuf", "jaunes"
"économie_domestique", "ingrédient", "laitier", "", "lait "
"économie_domestique", "ingrédient", "", "levain", "levain"
"économie_domestique", "ingrédient", "", "levain", "levain"
"économie_domestique", "ingrédient", "", "levain", "levain"
"économie_domestique", "ingrédient", "", "levain", "levain de pain"
"économie_domestique", "ingrédient", "", "levure", "levure de bière"
"économie_domestique", "ustensile", "", "linge", "linge"
"économie_domestique", "ustensile", "", "linge", "linge"
"économie_domestique", "ustensile", "", "linge", "linge blanc"
"économie_domestique", "ustensile", "", "moule", "moule"
"économie_domestique", "ustensile", "", "moule", "moule"
"économie_domestique", "ustensile", "", "moule", "moules à pâtisserie"
"économie_domestique", "ustensile", "", "moule", "moules à pâtisserie"
"économie_domestique", "ustensile", "", "planchette", "planchettes rondes"
"économie_domestique", "ustensile", "", "plaque de four", "plaque de four"
"économie_domestique", "ustensile", "", "plaque de tôle", "plaque de tôle"
"économie_domestique", "ustensile", "", "plat creux", "plat"
"économie_domestique", "ustensile", "", "plat creux", "plat creux"
"économie_domestique", "mets", "", "pot-au-feu", "pot-au-feu"
"économie_domestique", "ustensile", "", "poêlon", "poêlon"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"économie_domestique", "mets", "", "pâte", "pâte"
"économie_domestique", "ingrédient", "féculent", "pâte brisée", "pâte brisée "
"économie_domestique", "ingrédient", "féculent", "pâte brisée", "pâte brisée"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte cuite"
"économie_domestique", "ingrédient", "féculent", "pâte", "pâte molle"
"économie_domestique", "mets", "", "pâté", "pâté"
"économie_domestique", "mets", "", "pâté", "pâtés"
"économie_domestique", "ingrédient", "éparco", "sel", "sel"
"économie_domestique", "ingrédient", "éparco", "sel", "sel"
"économie_domestique", "ingrédient", "éparco", "sucre", "sucre"
"économie_domestique", "ingrédient", "éparco", "sucre", "sucre"
"économie_domestique", "ingrédient", "éparco", "sucre", "sucre"
"économie_domestique", "ingrédient", "éparco", "sucre", "sucre"
"économie_domestique", "ingrédient", "éparco", "sucre", "sucre "
"économie_domestique", "ustensile", "", "sébile", "sébile"
"économie_domestique", "ustensile", "", "table", "table"
"économie_domestique", "ustensile", "", "table", "table"
"économie_domestique", "mets", "", "tarte", "tarte"
"économie_domestique", "mets", "", "tarte aux pommes", "tarte aux pommes"
"économie_domestique", "mets", "", "tarte", "tartes"
"économie_domestique", "mets", "", "tarte", "tartes aux confitures"
"économie_domestique", "ustensile", "", "terrine", "terrine"
"économie_domestique", "ustensile", "", "terrine", "terrine"
"économie_domestique", "ingrédient", "carné", "veau", "veau"
"économie_domestique", "ingrédient", "", "eau", "verre"
"économie_domestique", "ingrédient", "animal", "œuf", "œufs"
"économie_domestique", "ingrédient", "animal", "œuf", "œufs"
"économie_domestique", "ingrédient", "animal", "œuf", "œufs"
"économie_domestique", "ingrédient", "animal", "œuf", "œufs ;"
"économie_domestique", "ingrédient", "animal", "œuf", "œufs entiers"
"économie_domestique", "mets", "", "œufs à la neige", "œufs à la neige"
